spread_line,result,normalized_modeled_prob
-14,66,0.00%
-14,67,0.00%
-14,68,0.00%
-14,69,0.00%
-14,70,0.00%
-14,71,0.00%
-14,72,0.00%
-14,73,0.00%
-14,74,0.00%
-13.5,-75,0.00%
-13.5,-74,0.00%
-13.5,-73,0.00%
-13.5,-72,0.00%
-13.5,-71,0.00%
-13.5,-70,0.00%
-13.5,-69,0.00%
-13.5,-68,0.00%
-13.5,-67,0.00%
-13.5,-66,0.00%
-13.5,-65,0.00%
-13.5,-64,0.00%
-13.5,-63,0.00%
-13.5,-62,0.00%
-13.5,-61,0.00%
-13.5,-60,0.00%
-13.5,-59,0.00%
-13.5,-58,0.00%
-13.5,-57,0.00%
-13.5,-56,0.00%
-13.5,-55,0.01%
-13.5,-54,0.01%
-13.5,-53,0.01%
-13.5,-52,0.01%
-13.5,-51,0.01%
-13.5,-50,0.02%
-13.5,-49,0.02%
-13.5,-48,0.02%
-13.5,-47,0.03%
-13.5,-46,0.03%
-13.5,-45,0.06%
-13.5,-44,0.30%
-13.5,-43,0.70%
-13.5,-42,0.60%
-13.5,-41,0.79%
-13.5,-40,0.39%
-13.5,-39,0.46%
-13.5,-38,0.95%
-13.5,-37,0.47%
-13.5,-36,0.20%
-13.5,-35,0.60%
-13.5,-34,1.25%
-13.5,-33,0.67%
-13.5,-32,0.78%
-13.5,-31,1.55%
-13.5,-30,0.84%
-13.5,-29,0.99%
-13.5,-28,1.94%
-13.5,-27,1.00%
-13.5,-26,0.47%
-13.5,-25,1.29%
-13.5,-24,2.63%
-13.5,-23,1.42%
-13.5,-22,1.70%
-13.5,-21,3.38%
-13.5,-20,1.68%
-13.5,-19,0.71%
-13.5,-18,2.37%
-13.5,-17,5.06%
-13.5,-16,2.60%
-13.5,-15,3.79%
-13.5,-14,8.19%
-13.5,-13,4.23%
-13.5,-12,1.02%
-13.5,-11,2.75%
-13.5,-10,5.84%
-13.5,-9,2.83%
-13.5,-8,2.24%
-13.5,-7,4.28%
-13.5,-6,2.06%
-13.5,-5,0.70%
-13.5,-4,1.54%
-13.5,-3,3.04%
-13.5,-2,1.49%
-13.5,-1,0.49%
-13.5,0,0.08%
-13.5,1,0.42%
-13.5,2,1.02%
-13.5,3,1.98%
-13.5,4,0.96%
-13.5,5,0.34%
-13.5,6,0.75%
-13.5,7,1.47%
-13.5,8,0.73%
-13.5,9,0.63%
-13.5,10,1.19%
-13.5,11,0.55%
-13.5,12,0.16%
-13.5,13,0.43%
-13.5,14,0.90%
-13.5,15,0.42%
-13.5,16,0.37%
-13.5,17,0.74%
-13.5,18,0.33%
-13.5,19,0.07%
-13.5,20,0.26%
-13.5,21,0.58%
-13.5,22,0.26%
-13.5,23,0.23%
-13.5,24,0.49%
-13.5,25,0.21%
-13.5,26,0.03%
-13.5,27,0.17%
-13.5,28,0.39%
-13.5,29,0.17%
-13.5,30,0.15%
-13.5,31,0.34%
-13.5,32,0.14%
-13.5,33,0.02%
-13.5,34,0.12%
-13.5,35,0.28%
-13.5,36,0.11%
-13.5,37,0.01%
-13.5,38,0.00%
-13.5,39,0.00%
-13.5,40,0.00%
-13.5,41,0.00%
-13.5,42,0.00%
-13.5,43,0.00%
-13.5,44,0.00%
-13.5,45,0.00%
